district,year,value
19,2006,0.015859624
19,2007,0.064074174
19,2008,0.058617476
19,2009,0.048817936
19,2010,0.080604032
19,2011,0.072570339
19,2012,0.070182487
19,2013,0.068893783
19,2014,0.07054887
19,2015,0.07054887
20,2000,0
20,2001,0
20,2002,0
20,2003,0
20,2004,0
20,2005,0
20,2006,0.015859624
20,2007,0.064074174
20,2008,0.058617476
20,2009,0.048817936
20,2010,0.080604032
20,2011,0.072570339
20,2012,0.070182487
20,2013,0.068893783
20,2014,0.07054887
20,2015,0.07054887
21,2000,0
21,2001,0
21,2002,0
21,2003,0
21,2004,0
21,2005,0
21,2006,0.015859624
21,2007,0.064074174
21,2008,0.058617476
21,2009,0.048817936
21,2010,0.080604032
21,2011,0.072570339
21,2012,0.070182487
21,2013,0.068893783
21,2014,0.07054887
21,2015,0.07054887
22,2000,0
22,2001,0
22,2002,0
22,2003,0
22,2004,0
22,2005,0
22,2006,0.015859624
22,2007,0.064074174
22,2008,0.058617476
22,2009,0.048817936
22,2010,0.080604032
22,2011,0.072570339
22,2012,0.070182487
22,2013,0.068893783
22,2014,0.07054887
22,2015,0.07054887
23,2000,0
23,2001,0
23,2002,0
23,2003,0
23,2004,0
23,2005,0
23,2006,0.015859624
23,2007,0.064074174
23,2008,0.058617476
23,2009,0.048817936
23,2010,0.080604032
23,2011,0.072570339
23,2012,0.070182487
23,2013,0.068893783
23,2014,0.07054887
23,2015,0.07054887
24,2000,0
24,2001,0
24,2002,0
24,2003,0
24,2004,0.000283186
24,2005,0.000427312
24,2006,0.015955182
24,2007,0.065485278
24,2008,0.059748669
24,2009,0.048811958
24,2010,0.079784419
24,2011,0.072190004
24,2012,0.07028401
24,2013,0.067171438
24,2014,0.069881818
24,2015,0.069881818
25,2000,0
25,2001,0
25,2002,0
25,2003,0
25,2004,0
25,2005,0
25,2006,0.015859624
25,2007,0.064074174
25,2008,0.058617476
25,2009,0.048817936
25,2010,0.080604032
25,2011,0.072570339
25,2012,0.070182487
25,2013,0.068893783
25,2014,0.07054887
25,2015,0.07054887
26,2000,0
26,2001,0
26,2002,0
26,2003,0
26,2004,0
26,2005,0
26,2006,0.015859624
26,2007,0.064074174
26,2008,0.058617476
26,2009,0.048817936
26,2010,0.080604032
26,2011,0.072570339
26,2012,0.070182487
26,2013,0.068893783
26,2014,0.07054887
26,2015,0.07054887
27,2000,0
27,2001,0
27,2002,0
27,2003,0
27,2004,0.000755164
27,2005,0.0011395
27,2006,0.016114444
27,2007,0.067837118
27,2008,0.061633989
27,2009,0.048801994
27,2010,0.078418397
27,2011,0.071556113
27,2012,0.070453215
27,2013,0.064300864
27,2014,0.068770064
27,2015,0.068770064
28,2000,0
28,2001,0
28,2002,0
28,2003,0
28,2004,0
28,2005,0
28,2006,0.015859624
28,2007,0.064074174
28,2008,0.058617476
28,2009,0.048817936
28,2010,0.080604032
28,2011,0.072570339
28,2012,0.070182487
28,2013,0.068893783
28,2014,0.07054887
28,2015,0.07054887
29,2000,0
29,2001,0
29,2002,0
29,2003,0
29,2004,0
29,2005,0
29,2006,0.015859624
29,2007,0.064074174
29,2008,0.058617476
29,2009,0.048817936
29,2010,0.080604032
29,2011,0.072570339
29,2012,0.070182487
29,2013,0.068893783
29,2014,0.07054887
29,2015,0.07054887
30,2000,0
30,2001,0
30,2002,0
30,2003,0
30,2004,0.000345349
30,2005,0.000521113
30,2006,0.015976158
30,2007,0.065795032
30,2008,0.059996979
30,2009,0.048810645
30,2010,0.079604503
30,2011,0.072106516
30,2012,0.070306296
30,2013,0.066793363
30,2014,0.069735391
30,2015,0.069735391
31,2000,0
31,2001,0
31,2002,0
31,2003,0
31,2004,0
31,2005,0
31,2006,0.015859624
31,2007,0.064074174
31,2008,0.058617476
31,2009,0.048817936
31,2010,0.080604032
