district,year,value
19,2006,0.067685495
19,2007,0.167874303
19,2008,0.228356305
19,2009,0.264018047
19,2010,0.382536695
19,2011,0.372311098
19,2012,0.302435586
19,2013,0.489067117
19,2014,0.689807908
19,2015,0.681215566
20,2000,0
20,2001,0
20,2002,0
20,2003,0
20,2004,0
20,2005,0
20,2006,0.096936798
20,2007,0.206419835
20,2008,0.255920475
20,2009,0.264510305
20,2010,0.33205277
20,2011,0.33458382
20,2012,0.321255988
20,2013,0.513533684
20,2014,0.711981943
20,2015,0.703470915
21,2000,0
21,2001,0
21,2002,0
21,2003,0
21,2004,0
21,2005,0
21,2006,0.151078791
21,2007,0.261690241
21,2008,0.324248394
21,2009,0.3498077
21,2010,0.45729069
21,2011,0.453212807
21,2012,0.398734155
21,2013,0.59481055
21,2014,0.800735477
21,2015,0.791959259
22,2000,0
22,2001,0
22,2002,0
22,2003,0
22,2004,0
22,2005,0
22,2006,0.153809997
22,2007,0.248621979
22,2008,0.286141309
22,2009,0.312848377
22,2010,0.420053041
22,2011,0.427625346
22,2012,0.392291341
22,2013,0.590403341
22,2014,0.795118547
22,2015,0.786385237
23,2000,0
23,2001,0
23,2002,0
23,2003,0
23,2004,0
23,2005,0
23,2006,0.076347374
23,2007,0.180471101
23,2008,0.241903103
23,2009,0.270941746
23,2010,0.390984066
23,2011,0.388967203
23,2012,0.322825745
23,2013,0.516824573
23,2014,0.723661589
23,2015,0.71485302
24,2000,0
24,2001,0
24,2002,0.003182668
24,2003,0.000112188
24,2004,0.00015401
24,2005,0.003680671
24,2006,0.061837719
24,2007,0.161611454
24,2008,0.220091109
24,2009,0.253573655
24,2010,0.372502728
24,2011,0.367321838
24,2012,0.298629561
24,2013,0.481909782
24,2014,0.680614147
24,2015,0.67237772
25,2000,0
25,2001,0
25,2002,0
25,2003,0
25,2004,0
25,2005,0
25,2006,0.173111584
25,2007,0.291287521
25,2008,0.353344782
25,2009,0.367866369
25,2010,0.456677138
25,2011,0.45084414
25,2012,0.409752249
25,2013,0.608299538
25,2014,0.813111283
25,2015,0.804374549
26,2000,0
26,2001,0
26,2002,0
26,2003,0
26,2004,0
26,2005,0
26,2006,0.02130675
26,2007,0.105578412
26,2008,0.162011637
26,2009,0.189843793
26,2010,0.286756648
26,2011,0.277157345
26,2012,0.227622961
26,2013,0.407482567
26,2014,0.597078016
26,2015,0.588880988
27,2000,0
27,2001,0
27,2002,0.010138559
27,2003,0.001625344
27,2004,0.002225313
27,2005,0.011150596
27,2006,0.097753432
