"year","district","mean","draw"
1980,1,0.829081132543793,1
1980,2,0.426903726153628,1
1980,3,0.772992388323642,1
1980,4,0.848955956630376,1
1980,5,0.772163487225771,1
1980,6,0.521318398565054,1
1980,7,0.230822528096069,1
1980,8,0.354050247491091,1
1980,9,0.19851843258481,1
1980,10,0.508168143375466,1
1980,11,0.779659394816165,1
1980,12,0.338611114929374,1
1980,13,0.608872693342467,1
1980,14,0.72922148732912,1
1980,15,0.299365505930923,1
1980,16,0.476498377080082,1
1980,17,0.292594069583962,1
1980,18,0.591200247158607,1
1980,19,0.451821359219374,1
1980,20,0.545951922150219,1
1980,21,0.511137171833386,1
1980,22,0.877143082718054,1
1980,23,0.660569845711335,1
1980,24,0.42090030409332,1
1980,25,0.623572026833681,1
1980,26,0.50830942768884,1
1980,27,0.61004856956147,1
1980,28,0.443707877358194,1
1980,29,0.796291448202902,1
1980,30,0.637013707005378,1
1980,31,0.534750022855236,1
1980,32,0.615743093930923,1
1980,33,0.748953582959395,1
1980,34,0.599449086764403,1
1980,35,0.742526870634821,1
1980,36,0.464128720030809,1
1980,37,0.360468173950491,1
1980,38,0.78667618582646,1
1980,39,0.911806254907771,1
1980,40,0.864730546433552,1
1980,41,0.856428109409956,1
1980,42,0.634258586109853,1
1980,43,0.645675029240403,1
1980,44,0.794956114013397,1
1980,45,0.694973726570606,1
1980,46,0.733351620237033,1
1980,47,0.874182263819071,1
1980,48,0.80786422135667,1
1980,49,0.735567663692766,1
1980,50,0.915120734983967,1
1980,51,0.801138854728026,1
1980,52,0.736958634029043,1
1980,53,0.739805813073143,1
1980,54,0.48794947978523,1
1980,55,0.484211122774453,1
1980,56,0.395139800682986,1
1980,57,0.846720654208949,1
1980,58,0.822796647056289,1
1980,59,0.720158874921434,1
1980,60,0.641406370770364,1
1980,61,0.608109823776861,1
1980,62,0.577971093816522,1
1980,63,0.28911435029142,1
1980,64,0.757755808004763,1
1980,65,0.772834104714376,1
1980,66,0.428282506068548,1
1980,67,0.324854013901474,1
1980,68,0.547205023248406,1
1980,69,0.749124094843864,1
1980,70,0.898956629907948,1
1980,71,0.365447556688672,1
1980,72,0.497787183239346,1
1980,73,0.733794989823191,1
1980,74,0.590510168859551,1
1980,75,0.752513313803185,1
1980,76,0.332396859558774,1
1980,77,0.0285428691344957,1
1980,78,0.526866802250405,1
1980,79,0.427485247293853,1
1980,80,0.731151957208147,1
1980,81,0.038609983606471,1
1980,82,0.598727714312211,1
1980,83,0.437582511842037,1
1980,84,0.458235994763212,1
1980,85,0.718807429075241,1
1980,86,0.453732652523938,1
1980,87,0.488023649305786,1
1980,88,0.611671201486015,1
1980,89,0.728324243102253,1
1980,90,0.672286087309408,1
1980,91,0.440909120828713,1
1980,92,0.844231935097026,1
1980,93,0.187777315024976,1
1980,94,0.585533531636432,1
1980,95,0.440700029129865,1
1980,96,0.617142584334072,1
1980,97,0.46697378457323,1
1980,98,0.781542180644141,1
1980,99,0.579848225911458,1
1980,100,0.355821563981305,1
1980,101,0.783236026231732,1
1980,102,0.816246804728256,1
1980,103,0.823504278146558,1
1980,104,0.702163360932822,1
1980,105,0.537235046821562,1
1980,106,0.342426871595086,1
1980,107,0.215717802498682,1
1980,108,0.622277992839614,1
1980,109,0.699921902369808,1
1980,110,0.527853654329608,1
1980,111,0.834360826541396,1
1980,112,0.589913134213561,1
1981,1,0.829081132543793,1
1981,2,0.426903726153628,1
1981,3,0.772992388323642,1
1981,4,0.848955956630376,1
1981,5,0.772163487225771,1
1981,6,0.521318398565054,1
1981,7,0.230822528096069,1
1981,8,0.354050247491091,1
1981,9,0.19851843258481,1
1981,10,0.508168143375466,1
1981,11,0.779659394816165,1
1981,12,0.338611114929374,1
1981,13,0.608872693342467,1
1981,14,0.72922148732912,1
1981,15,0.299365505930923,1
1981,16,0.476498377080082,1
1981,17,0.292594069583962,1
1981,18,0.591200247158607,1
1981,19,0.451821359219374,1
1981,20,0.545951922150219,1
1981,21,0.511137171833386,1
1981,22,0.877143082718054,1
1981,23,0.660569845711335,1
1981,24,0.42090030409332,1
1981,25,0.623572026833681,1
1981,26,0.50830942768884,1
1981,27,0.61004856956147,1
1981,28,0.443707877358194,1
1981,29,0.796291448202902,1
1981,30,0.637013707005378,1
1981,31,0.534750022855236,1
1981,32,0.615743093930923,1
1981,33,0.748953582959395,1
1981,34,0.599449086764403,1
1981,35,0.742526870634821,1
1981,36,0.464128720030809,1
1981,37,0.360468173950491,1
1981,38,0.78667618582646,1
1981,39,0.911806254907771,1
1981,40,0.864730546433552,1
1981,41,0.856428109409956,1
1981,42,0.634258586109853,1
1981,43,0.645675029240403,1
1981,44,0.794956114013397,1
1981,45,0.694973726570606,1
1981,46,0.733351620237033,1
1981,47,0.874182263819071,1
1981,48,0.80786422135667,1
1981,49,0.735567663692766,1
1981,50,0.915120734983967,1
1981,51,0.801138854728026,1
1981,52,0.736958634029043,1
1981,53,0.739805813073143,1
1981,54,0.48794947978523,1
1981,55,0.484211122774453,1
1981,56,0.395139800682986,1
1981,57,0.846720654208949,1
1981,58,0.822796647056289,1
1981,59,0.720158874921434,1
1981,60,0.641406370770364,1
1981,61,0.608109823776861,1
1981,62,0.577971093816522,1
1981,63,0.28911435029142,1
1981,64,0.757755808004763,1
1981,65,0.772834104714376,1
1981,66,0.428282506068548,1
1981,67,0.324854013901474,1
1981,68,0.547205023248406,1
1981,69,0.749124094843864,1
1981,70,0.898956629907948,1
1981,71,0.365447556688672,1
1981,72,0.497787183239346,1
1981,73,0.733794989823191,1
1981,74,0.590510168859551,1
1981,75,0.752513313803185,1
1981,76,0.332396859558774,1
1981,77,0.0285428691344957,1
1981,78,0.526866802250405,1
1981,79,0.427485247293853,1
1981,80,0.731151957208147,1
1981,81,0.038609983606471,1
1981,82,0.598727714312211,1
1981,83,0.437582511842037,1
1981,84,0.458235994763212,1
1981,85,0.718807429075241,1
1981,86,0.453732652523938,1
1981,87,0.488023649305786,1
1981,88,0.611671201486015,1
1981,89,0.728324243102253,1
1981,90,0.672286087309408,1
1981,91,0.440909120828713,1
1981,92,0.844231935097026,1
1981,93,0.187777315024976,1
1981,94,0.585533531636432,1
1981,95,0.440700029129865,1
1981,96,0.617142584334072,1
1981,97,0.46697378457323,1
1981,98,0.781542180644141,1
1981,99,0.579848225911458,1
1981,100,0.355821563981305,1
1981,101,0.783236026231732,1
1981,102,0.816246804728256,1
1981,103,0.823504278146558,1
1981,104,0.702163360932822,1
1981,105,0.537235046821562,1
1981,106,0.342426871595086,1
1981,107,0.215717802498682,1
1981,108,0.622277992839614,1
1981,109,0.699921902369808,1
1981,110,0.527853654329608,1
1981,111,0.834360826541396,1
1981,112,0.589913134213561,1
1982,1,0.829081132543793,1
1982,2,0.426903726153628,1
1982,3,0.772992388323642,1
1982,4,0.848955956630376,1
1982,5,0.772163487225771,1
1982,6,0.521318398565054,1
1982,7,0.230822528096069,1
1982,8,0.354050247491091,1
1982,9,0.19851843258481,1
1982,10,0.508168143375466,1
1982,11,0.779659394816165,1
1982,12,0.338611114929374,1
1982,13,0.608872693342467,1
1982,14,0.72922148732912,1
1982,15,0.299365505930923,1
1982,16,0.476498377080082,1
1982,17,0.292594069583962,1
1982,18,0.591200247158607,1
1982,19,0.451821359219374,1
1982,20,0.545951922150219,1
1982,21,0.511137171833386,1
1982,22,0.877143082718054,1
1982,23,0.660569845711335,1
1982,24,0.42090030409332,1
1982,25,0.623572026833681,1
1982,26,0.50830942768884,1
1982,27,0.61004856956147,1
